perfume_id,brand,category,longevity,sillage,best_time_of_day,best_season,price_tier,recommended_event,longevity_score,sillage_score
307,Ajmal,Woody Spicy,Medium,Strong,Night,Summer,Budget,Formal Event,2,3
308,Tom Ford,Fresh Scent,Medium,Strong,Both,Fall,Mid-Range,Night Out,2,3
309,Armaf,Leather,Very Strong,Moderate,Night,Summer,Luxury,Night Out,4,2
310,Mancera,Leather,Medium,Enormous,Day,Spring,Mid-Range,Night Out,2,4
311,Armaf,Aromatic Fougere,Light,Intimate,Both,Winter,Luxury,Office,1,1
312,Ajmal,Amber Floral,Light,Strong,Night,Winter,Mid-Range,Wedding,1,3
313,Tom Ford,Aquatic,Strong,Enormous,Day,Winter,Mid-Range,Beach/Vacation,3,4
314,Dior,Fresh Scent,Strong,Strong,Night,Fall,Luxury,Casual Daywear,3,3
315,Byredo,Fresh Scent,Strong,Moderate,Night,Summer,Luxury,Casual Daywear,3,2
316,Tom Ford,Floral Fruity,Strong,Intimate,Day,All Season,Luxury,Date Night,3,1
317,Lattafa,Aquatic,Strong,Enormous,Day,Winter,Mid-Range,Beach/Vacation,3,4
318,Prada,Citrus Aromatic,Medium,Intimate,Day,Summer,Luxury,Office,2,1
319,Armaf,Amber Floral,Medium,Strong,Night,Summer,Mid-Range,Wedding,2,3
320,Montblanc,Aquatic,Medium,Strong,Both,Fall,Budget,Beach/Vacation,2,3
